Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV), QoS Constraints Removed
0,64,1024.0,0.28109999999,0.0,0
1,64,1024.0,0.25080000001,0.0,0
2,64,1024.0,0.2813,0.0,0
3,64,1024.0,0.27989999999,0.0,0
4,64,1024.0,0.28140000001,0.0,0
5,64,1024.0,0.28009999997,0.0,0
6,64,1024.0,0.24770000001,0.0,0
7,64,1024.0,0.2752,0.0,0
8,64,1024.0,0.28020000001,0.0,0
9,64,1024.0,0.2787,0.0,0
