Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,24,144.01265096989997,3.9886,6.61856605819317
1,24,144.01265096989997,4.0046,6.61856605819317
0,24,144.01265096989997,3.9285,6.61856605819317
1,24,144.01265096989997,3.9327,6.61856605819317
2,24,144.01265096989997,3.9272,6.61856605819317
3,24,144.01265096989997,3.9356,6.61856605819317
4,24,144.01265096989997,3.9321,6.61856605819317
5,24,144.01265096989997,3.9389,6.61856605819317
6,24,144.01265096989997,3.935,6.61856605819317
7,24,144.01265096989997,4.0553,6.61856605819317
