Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,10,25.005172536200003,0.7279,10.65002816897683
1,10,25.005172536200003,0.7307,10.65002816897683
0,10,25.005172536200003,0.7269,10.65002816897683
1,10,25.005172536200003,0.7235,10.65002816897683
2,10,25.005172536200003,0.7351,10.65002816897683
3,10,25.005172536200003,0.729,10.65002816897683
4,10,25.005172536200003,0.7258,10.65002816897683
5,10,25.005172536200003,0.7256,10.65002816897683
6,10,25.005172536200003,0.7278,10.65002816897683
7,10,25.005172536200003,0.7278,10.65002816897683
