Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,28,196.0143076943,2.6405,5.9537973648105025
1,28,196.0143076943,2.6362,5.9537973648105025
0,28,196.0143076943,2.6224,5.9537973648105025
1,28,196.0143076943,2.6251,5.9537973648105025
2,28,196.0143076943,2.6223,5.9537973648105025
3,28,196.0143076943,2.6541,5.9537973648105025
4,28,196.0143076943,2.6205,5.9537973648105025
5,28,196.0143076943,2.6209,5.9537973648105025
6,28,196.0143076943,2.622,5.9537973648105025
7,28,196.0143076943,2.6202,5.9537973648105025
