Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,49,600.2707243520001,55.0672,3.39546822958569
1,49,600.2707243520001,55.0583,3.39546822958569
0,49,600.2707243520001,54.9811,3.39546822958569
1,49,600.2707243520001,55.0143,3.39546822958569
2,49,600.2707243520001,55.3386,3.39546822958569
3,49,600.2707243520001,54.9987,3.39546822958569
4,49,600.2707243520001,55.0029,3.39546822958569
5,49,600.2707243520001,55.0083,3.39546822958569
6,49,600.2707243520001,54.9772,3.39546822958569
7,49,600.2707243520001,55.0132,3.39546822958569
