Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,56,784.0229006540002,323.9852,2.6956152983567025
1,56,784.0229006540002,323.9678,2.6956152983567025
0,56,784.0229006540002,324.0978,2.6956152983567025
1,56,784.0229006540002,324.0873,2.6956152983567025
2,56,784.0229006540002,324.1104,2.6956152983567025
3,56,784.0229006540002,324.2026,2.6956152983567025
4,56,784.0229006540002,324.2045,2.6956152983567025
5,56,784.0229006540002,324.2026,2.6956152983567025
6,56,784.0229006540002,324.2061,2.6956152983567025
7,56,784.0229006540002,324.2034,2.6956152983567025
