Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,9,80.20743621237003,0.16690000001,11.18645013695885
1,9,80.20743621237003,0.16840000001,11.18645013695885
0,9,80.20743621237003,0.1667,11.18645013695885
1,9,80.20743621237003,0.1683,11.18645013695885
2,9,80.20743621237003,0.1682,11.18645013695885
3,9,80.20743621237003,0.1673,11.18645013695885
4,9,80.20743621237003,0.1659,11.18645013695885
5,9,80.20743621237003,0.1673,11.18645013695885
6,9,80.20743621237003,0.1666,11.18645013695885
7,9,80.20743621237003,0.16770000001,11.18645013695885
