Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,32,256.01578673640006,9.6241,5.373613774732977
1,32,256.01578673640006,9.6334,5.373613774732977
0,32,256.01578673640006,9.6083,5.373613774732977
1,32,256.01578673640006,9.601,5.373613774732977
2,32,256.01578673640006,9.6003,5.373613774732977
3,32,256.01578673640006,9.5937,5.373613774732977
4,32,256.01578673640006,9.591,5.373613774732977
5,32,256.01578673640006,9.5964,5.373613774732977
6,32,256.01578673640006,9.5913,5.373613774732977
7,32,256.01578673640006,9.594,5.373613774732977
