Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,25,156.26308285460001,3.8649,6.4425150368470225
1,25,156.26308285460001,3.8796,6.4425150368470225
0,25,156.26308285460001,3.8363,6.4425150368470225
1,25,156.26308285460001,3.8381,6.4425150368470225
2,25,156.26308285460001,3.8424,6.4425150368470225
3,25,156.26308285460001,3.8421,6.4425150368470225
4,25,156.26308285460001,3.8307,6.4425150368470225
5,25,156.26308285460001,3.8875,6.4425150368470225
6,25,156.26308285460001,3.8353,6.4425150368470225
7,25,156.26308285460001,3.8369,6.4425150368470225
