Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,12,36.006419248200004,0.3054,9.750923887851176
1,12,36.006419248200004,0.3072,9.750923887851176
0,12,36.006419248200004,0.3045,9.750923887851176
1,12,36.006419248200004,0.3036,9.750923887851176
2,12,36.006419248200004,0.3047,9.750923887851176
3,12,36.006419248200004,0.3048,9.750923887851176
4,12,36.006419248200004,0.3056,9.750923887851176
5,12,36.006419248200004,0.3049,9.750923887851176
6,12,36.006419248200004,0.3048,9.750923887851176
7,12,36.006419248200004,0.3046,9.750923887851176
