Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,21,217.70502944768,1.4668,7.197164502131954
1,21,217.70502944768,1.469,7.197164502131954
0,21,217.70502944768,1.4484,7.197164502131954
1,21,217.70502944768,1.4505,7.197164502131954
2,21,217.70502944768,1.4484,7.197164502131954
3,21,217.70502944768,1.4507,7.197164502131954
4,21,217.70502944768,1.4484,7.197164502131954
5,21,217.70502944768,1.4651,7.197164502131954
6,21,217.70502944768,1.4506,7.197164502131954
7,21,217.70502944768,1.4503,7.197164502131954
