Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,27,182.26391119179993,2.3863,6.110768273211552
1,27,182.26391119179993,2.3999,6.110768273211552
0,27,182.26391119179993,2.3793,6.110768273211552
1,27,182.26391119179993,2.3858,6.110768273211552
2,27,182.26391119179993,2.3836,6.110768273211552
3,27,182.26391119179993,2.3779,6.110768273211552
4,27,182.26391119179993,2.4101,6.110768273211552
5,27,182.26391119179993,2.3799,6.110768273211552
6,27,182.26391119179993,2.3799,6.110768273211552
7,27,182.26391119179993,2.3812,6.110768273211552
