Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,52,676.0215803170001,459.248,3.0907340523326363
1,52,676.0215803170001,459.1377,3.0907340523326363
0,52,676.0215803170001,459.0131,3.0907340523326363
1,52,676.0215803170001,459.1653,3.0907340523326363
2,52,676.0215803170001,458.9649,3.0907340523326363
3,52,676.0215803170001,459.1058,3.0907340523326363
4,52,676.0215803170001,459.1779,3.0907340523326363
5,52,676.0215803170001,458.7546,3.0907340523326363
6,52,676.0215803170001,459.0376,3.0907340523326363
7,52,676.0215803170001,459.3667,3.0907340523326363
