Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,34,289.01646461240006,17.9857,5.106764121475315
1,34,289.01646461240006,17.9812,5.106764121475315
0,34,289.01646461240006,17.9429,5.106764121475315
1,34,289.01646461240006,17.9452,5.106764121475315
2,34,289.01646461240006,17.9719,5.106764121475315
3,34,289.01646461240006,18.0393,5.106764121475315
4,34,289.01646461240006,18.023,5.106764121475315
5,34,289.01646461240006,18.0984,5.106764121475315
6,34,289.01646461240006,18.1434,5.106764121475315
7,34,289.01646461240006,17.9404,5.106764121475315
