Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,8,16.0038922368,0.12519999999,11.800065677783323
1,8,16.0038922368,0.124,11.800065677783323
0,8,16.0038922368,0.12450000001,11.800065677783323
1,8,16.0038922368,0.1234,11.800065677783323
2,8,16.0038922368,0.1234,11.800065677783323
3,8,16.0038922368,0.124,11.800065677783323
4,8,16.0038922368,0.1239,11.800065677783323
5,8,16.0038922368,0.124,11.800065677783323
6,8,16.0038922368,0.1242,11.800065677783323
7,8,16.0038922368,0.1243,11.800065677783323
