Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,6,9.0025913897,0.088099999994,13.349332068184784
1,6,9.0025913897,0.086599999995,13.349332068184784
0,6,9.0025913897,0.085499999994,13.349332068184784
1,6,9.0025913897,0.085299999999,13.349332068184784
2,6,9.0025913897,0.085399999996,13.349332068184784
3,6,9.0025913897,0.084799999997,13.349332068184784
4,6,9.0025913897,0.084899999994,13.349332068184784
5,6,9.0025913897,0.084799999997,13.349332068184784
6,6,9.0025913897,0.085400000004,13.349332068184784
7,6,9.0025913897,0.084999999999,13.349332068184784
