Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,40,400.01826410719997,27.0121,4.372910929804082
1,40,400.01826410719997,27.0251,4.372910929804082
0,40,400.01826410719997,26.954,4.372910929804082
1,40,400.01826410719997,26.9488,4.372910929804082
2,40,400.01826410719997,26.9388,4.372910929804082
3,40,400.01826410719997,26.963,4.372910929804082
4,40,400.01826410719997,26.9358,4.372910929804082
5,40,400.01826410719997,27.5662,4.372910929804082
6,40,400.01826410719997,26.9424,4.372910929804082
7,40,400.01826410719997,26.9511,4.372910929804082
