Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,22,121.0117502609,2.4834,6.994927087445421
1,22,121.0117502609,2.4987,6.994927087445421
0,22,121.0117502609,2.4592,6.994927087445421
1,22,121.0117502609,2.4569,6.994927087445421
2,22,121.0117502609,2.4569,6.994927087445421
3,22,121.0117502609,2.4577,6.994927087445421
4,22,121.0117502609,2.4518,6.994927087445421
5,22,121.0117502609,2.4579,6.994927087445421
6,22,121.0117502609,2.461,6.994927087445421
7,22,121.0117502609,2.4576,6.994927087445421
