Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,45,506.26965217800006,40.1444,3.8161848313029423
1,45,506.26965217800006,40.131,3.8161848313029423
0,45,506.26965217800006,40.1053,3.8161848313029423
1,45,506.26965217800006,40.1263,3.8161848313029423
2,45,506.26965217800006,40.0946,3.8161848313029423
3,45,506.26965217800006,40.0842,3.8161848313029423
4,45,506.26965217800006,40.0957,3.8161848313029423
5,45,506.26965217800006,40.0828,3.8161848313029423
6,45,506.26965217800006,40.2291,3.8161848313029423
7,45,506.26965217800006,40.0956,3.8161848313029423
