Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV), QoS Constraints Removed
0,41,420.25,26.8662,4.258260963896512,3
1,41,420.25,27.0671,4.258260963896512,3
2,41,420.25,26.8487,4.258260963896512,3
3,41,420.25,26.8421,4.258260963896512,3
4,41,420.25,26.8568,4.258260963896512,3
5,41,420.25,26.8569,4.258260963896512,3
6,41,420.25,26.8557,4.258260963896512,3
7,41,420.25,26.8533,4.258260963896512,3
