Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV), QoS Constraints Removed
0,64,1024.0,986.0573,1.9332210815113724,13
1,64,1024.0,986.0001,1.9332210815113724,13
2,64,1024.0,985.9037,1.9332210815113724,13
3,64,1024.0,986.0707,1.9332210815113724,13
4,64,1024.0,986.3143,1.9332210815113724,13
5,64,1024.0,987.627,1.9332210815113724,13
6,64,1024.0,986.1612,1.9332210815113724,13
7,64,1024.0,985.7181,1.9332210815113724,13
