Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV), QoS Constraints Removed
0,35,306.25,12.665,4.978073145796269,7
1,35,306.25,12.7247,4.978073145796269,7
2,35,306.25,12.7391,4.978073145796269,7
3,35,306.25,12.7289,4.978073145796269,7
4,35,306.25,12.7083,4.978073145796269,7
5,35,306.25,12.6488,4.978073145796269,7
6,35,306.25,12.6698,4.978073145796269,7
7,35,306.25,12.6558,4.978073145796269,7
