Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,13,42.250000184,0.082999999868,9.367788887408452
1,13,42.250000184,0.084000000032,9.367788887408452
0,13,42.250000184,0.090000000026,9.367788887408452
1,13,42.250000184,0.082999999984,9.367788887408452
2,13,42.250000184,0.083000000013,9.367788887408452
3,13,42.250000184,0.081999999995,9.367788887408452
4,13,42.250000184,0.082999999984,9.367788887408452
5,13,42.250000184,0.084000000003,9.367788887408452
6,13,42.250000184,0.081999999995,9.367788887408452
7,13,42.250000184,0.081999999995,9.367788887408452
