Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,3,2.25,0.028000000166,16.949350036702487
1,3,2.25,0.023000000045,16.949350036702487
0,3,2.25,0.024000000005,16.949350036702487
1,3,2.25,0.021999999997,16.949350036702487
2,3,2.25,0.021999999997,16.949350036702487
3,3,2.25,0.021999999997,16.949350036702487
4,3,2.25,0.021999999997,16.949350036702487
5,3,2.25,0.021999999997,16.949350036702487
6,3,2.25,0.021999999997,16.949350036702487
7,3,2.25,0.021999999997,16.949350036702487
