Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,14,49.0,0.091999999946,9.019101045751146
1,14,49.0,0.094000000041,9.019101045751146
0,14,49.0,0.091000000015,9.019101045751146
1,14,49.0,0.091000000015,9.019101045751146
2,14,49.0,0.091999999975,9.019101045751146
3,14,49.0,0.092999999993,9.019101045751146
4,14,49.0,0.094000000012,9.019101045751146
5,14,49.0,0.092999999993,9.019101045751146
6,14,49.0,0.092000000004,9.019101045751146
7,14,49.0,0.093000000023,9.019101045751146
