Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,10,25.000004696,0.057999999961,10.65002816897683
1,10,25.000004696,0.05700000003,10.65002816897683
0,10,25.000004696,0.063000000024,10.65002816897683
1,10,25.000004696,0.058000000019,10.65002816897683
2,10,25.000004696,0.054999999993,10.65002816897683
3,10,25.000004696,0.054999999993,10.65002816897683
4,10,25.000004696,0.054999999993,10.65002816897683
5,10,25.000004696,0.054000000004,10.65002816897683
6,10,25.000004696,0.062999999995,10.65002816897683
7,10,25.000004696,0.054999999993,10.65002816897683
