Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,7,12.250000082,0.049999999814,12.511653669720097
1,7,12.250000082,0.050999999978,12.511653669720097
0,7,12.250000082,0.050000000017,12.511653669720097
1,7,12.250000082,0.051000000007,12.511653669720097
2,7,12.250000082,0.049999999988,12.511653669720097
3,7,12.250000082,0.051000000007,12.511653669720097
4,7,12.250000082,0.049999999988,12.511653669720097
5,7,12.250000082,0.049999999988,12.511653669720097
6,7,12.250000082,0.049999999988,12.511653669720097
7,7,12.250000082,0.048999999999,12.511653669720097
