Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,6,9.0000000002,0.035000000149,13.349332068184784
1,6,9.0000000002,0.033999999985,13.349332068184784
0,6,9.0000000002,0.03899999999,13.349332068184784
1,6,9.0000000002,0.032999999996,13.349332068184784
2,6,9.0000000002,0.032999999996,13.349332068184784
3,6,9.0000000002,0.032999999996,13.349332068184784
4,6,9.0000000002,0.035000000003,13.349332068184784
5,6,9.0000000002,0.035000000003,13.349332068184784
6,6,9.0000000002,0.032999999996,13.349332068184784
7,6,9.0000000002,0.032999999996,13.349332068184784
