Time;0x00;0x01;0x02;0x03;0x08;0x1A;0x1C;0x1E
2020-01-02T23:35:29+01:00;0;0;0;0;0;0;0;0
2020-01-02T23:35:30+01:00;1272;0;0;0;0;0;0;0
2020-01-02T23:35:31+01:00;1032;0;0;0;0;0;0;0
2020-01-02T23:35:32+01:00;1032;0;0;0;0;0;0;0
2020-01-02T23:35:33+01:00;1364;0;0;0;0;0;0;0
2020-01-02T23:35:34+01:00;1604;0;0;0;0;0;0;0
2020-01-02T23:35:35+01:00;2588;0;0;0;0;0;0;0
2020-01-02T23:35:36+01:00;1546228;0;0;0;0;0;0;0
2020-01-02T23:35:37+01:00;1495260;0;0;0;0;0;0;0
2020-01-02T23:35:38+01:00;1815884;0;0;0;0;0;0;0
2020-01-02T23:35:39+01:00;1781160;0;0;0;0;0;0;0
2020-01-02T23:35:40+01:00;1701160;0;0;0;0;0;0;0
2020-01-02T23:35:41+01:00;1644400;0;0;0;0;0;0;0
2020-01-02T23:35:42+01:00;1666592;0;0;0;0;0;0;0
2020-01-02T23:35:43+01:00;1780008;0;0;0;0;0;0;0
2020-01-02T23:35:44+01:00;1628984;0;0;0;0;0;0;0
2020-01-02T23:35:45+01:00;1679490;0;0;0;0;0;0;0
2020-01-02T23:35:46+01:00;1617120;0;0;0;0;0;0;0
2020-01-02T23:35:47+01:00;1635698;0;0;0;0;0;0;0
2020-01-02T23:35:48+01:00;1715812;0;0;0;0;0;0;0
2020-01-02T23:35:49+01:00;1657994;0;0;0;0;0;0;0
2020-01-02T23:35:50+01:00;1640880;0;0;0;0;0;0;0
2020-01-02T23:35:51+01:00;1735516;0;0;0;0;0;0;0
2020-01-02T23:35:52+01:00;1717268;0;0;0;0;0;0;0
2020-01-02T23:35:53+01:00;1663908;0;0;0;0;0;0;0
2020-01-02T23:35:54+01:00;1768940;0;0;0;0;0;0;0
2020-01-02T23:35:55+01:00;1619916;0;0;0;0;0;0;0
2020-01-02T23:35:56+01:00;1362870;0;0;0;0;0;0;0
2020-01-02T23:35:57+01:00;700362;0;0;0;0;0;0;0
2020-01-02T23:35:58+01:00;565026;0;0;0;0;0;0;0
2020-01-02T23:35:59+01:00;506942;0;0;0;0;0;0;0
2020-01-02T23:36:00+01:00;1605744;0;0;0;0;0;0;0
2020-01-02T23:36:01+01:00;1766966;0;0;0;0;0;0;0
2020-01-02T23:36:02+01:00;1693554;0;0;0;0;0;0;0
2020-01-02T23:36:03+01:00;1820536;0;0;0;0;0;0;0
2020-01-02T23:36:04+01:00;1698240;0;0;0;0;0;0;0
2020-01-02T23:36:05+01:00;1783822;0;0;0;0;0;0;0
2020-01-02T23:36:06+01:00;1814924;0;0;0;0;0;0;0
2020-01-02T23:36:07+01:00;1665172;0;0;0;0;0;0;0
2020-01-02T23:36:08+01:00;1753208;0;0;0;0;0;0;0
2020-01-02T23:36:09+01:00;1792650;0;0;0;0;0;0;0
2020-01-02T23:36:10+01:00;1703960;0;0;0;0;0;0;0
2020-01-02T23:36:11+01:00;1725192;0;0;0;0;0;0;0
2020-01-02T23:36:12+01:00;1756340;0;0;0;0;0;0;0
2020-01-02T23:36:13+01:00;1768548;0;0;0;0;0;0;0
2020-01-02T23:36:14+01:00;1623390;0;0;0;0;0;0;0
2020-01-02T23:36:15+01:00;1768880;0;0;0;0;0;0;0
2020-01-02T23:36:16+01:00;1716862;0;0;0;0;0;0;0
2020-01-02T23:36:17+01:00;1689942;0;0;0;0;0;0;0
2020-01-02T23:36:18+01:00;1752576;0;0;0;0;0;0;0
2020-01-02T23:36:19+01:00;1773378;0;0;0;0;0;0;0
2020-01-02T23:36:20+01:00;1684508;0;0;0;0;0;0;0
2020-01-02T23:36:21+01:00;1771242;0;0;0;0;0;0;0
2020-01-02T23:36:22+01:00;1651080;0;0;0;0;0;0;0
2020-01-02T23:36:23+01:00;1702790;0;0;0;0;0;0;0
2020-01-02T23:36:24+01:00;1746002;0;0;0;0;0;0;0
2020-01-02T23:36:25+01:00;1695090;0;0;0;0;0;0;0
2020-01-02T23:36:26+01:00;1617246;0;0;0;0;0;0;0
2020-01-02T23:36:27+01:00;1773504;0;0;0;0;0;0;0
2020-01-02T23:36:28+01:00;1728710;0;0;0;0;0;0;0
2020-01-02T23:36:29+01:00;1624750;0;0;0;0;0;0;0
2020-01-02T23:36:30+01:00;1739912;0;0;0;0;0;0;0
2020-01-02T23:36:31+01:00;1789764;0;0;0;0;0;0;0
2020-01-02T23:36:32+01:00;1683712;0;0;0;0;0;0;0
2020-01-02T23:36:33+01:00;1842368;0;0;0;0;0;0;0
2020-01-02T23:36:34+01:00;1594362;0;0;0;0;0;0;0
2020-01-02T23:36:35+01:00;1713836;0;0;0;0;0;0;0
2020-01-02T23:36:36+01:00;382986;0;0;0;0;0;0;0
2020-01-02T23:36:37+01:00;1046;0;0;0;0;0;0;0
2020-01-02T23:36:38+01:00;1814;0;0;0;0;0;0;0
2020-01-02T23:36:39+01:00;792;0;0;0;0;0;0;0
2020-01-02T23:36:40+01:00;1272;0;0;0;0;0;0;0
2020-01-02T23:36:41+01:00;1046;0;0;0;0;0;0;0
