Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,46,717.1266521613003,1.2749999999,3.709236669851071
1,46,717.1266521613003,1.4119999998,3.709236669851071
0,46,717.1266521613003,1.268,3.709236669851071
1,46,717.1266521613003,1.251,3.709236669851071
2,46,717.1266521613003,1.251,3.709236669851071
3,46,717.1266521613003,1.263,3.709236669851071
4,46,717.1266521613003,1.25,3.709236669851071
5,46,717.1266521613003,1.263,3.709236669851071
6,46,717.1266521613003,1.256,3.709236669851071
7,46,717.1266521613003,1.254,3.709236669851071
