Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,16,70.25121117810001,0.065999999875,8.404477973080779
1,16,70.25121117810001,0.065999999875,8.404477973080779
0,16,70.25121117810001,0.065999999992,8.404477973080779
1,16,70.25121117810001,0.064000000013,8.404477973080779
2,16,70.25121117810001,0.066000000021,8.404477973080779
3,16,70.25121117810001,0.067999999999,8.404477973080779
4,16,70.25121117810001,0.065000000002,8.404477973080779
5,16,70.25121117810001,0.06700000001,8.404477973080779
6,16,70.25121117810001,0.065000000002,8.404477973080779
7,16,70.25121117810001,0.066000000021,8.404477973080779
