Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,48,746.7886011922,1.2249999999,3.498959369107716
1,48,746.7886011922,1.1129999999,3.498959369107716
0,48,746.7886011922,1.088,3.498959369107716
1,48,746.7886011922,1.078,3.498959369107716
2,48,746.7886011922,1.093,3.498959369107716
3,48,746.7886011922,1.088,3.498959369107716
4,48,746.7886011922,1.083,3.498959369107716
5,48,746.7886011922,1.1,3.498959369107716
6,48,746.7886011922,1.082,3.498959369107716
7,48,746.7886011922,1.09,3.498959369107716
