Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,39,537.7274746283999,0.72799999989,4.489472674103133
1,39,537.7274746283999,0.8060000001,4.489472674103133
0,39,537.7274746283999,0.72200000001,4.489472674103133
1,39,537.7274746283999,0.72099999999,4.489472674103133
2,39,537.7274746283999,0.736,4.489472674103133
3,39,537.7274746283999,0.72600000002,4.489472674103133
4,39,537.7274746283999,0.72600000002,4.489472674103133
5,39,537.7274746283999,0.72099999999,4.489472674103133
6,39,537.7274746283999,0.726,4.489472674103133
7,39,537.7274746283999,0.72200000001,4.489472674103133
