Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,53,971.4204672281,1.7919999999,2.9908620887924373
1,53,971.4204672281,1.6739999999,2.9908620887924373
0,53,971.4204672281,1.605,2.9908620887924373
1,53,971.4204672281,1.614,2.9908620887924373
2,53,971.4204672281,1.623,2.9908620887924373
3,53,971.4204672281,1.617,2.9908620887924373
4,53,971.4204672281,1.607,2.9908620887924373
5,53,971.4204672281,1.619,2.9908620887924373
6,53,971.4204672281,1.611,2.9908620887924373
7,53,971.4204672281,1.613,2.9908620887924373
