Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,49,780.1905674032,1.3499999999,3.39546822958569
1,49,780.1905674032,1.3589999999,3.39546822958569
0,49,780.1905674032,1.315,3.39546822958569
1,49,780.1905674032,1.309,3.39546822958569
2,49,780.1905674032,1.313,3.39546822958569
3,49,780.1905674032,1.316,3.39546822958569
4,49,780.1905674032,1.307,3.39546822958569
5,49,780.1905674032,1.308,3.39546822958569
6,49,780.1905674032,1.309,3.39546822958569
7,49,780.1905674032,1.312,3.39546822958569
