Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,36,429.8246787448,0.52300000004,4.852207401447991
1,36,429.8246787448,0.52399999998,4.852207401447991
0,36,429.8246787448,0.53399999999,4.852207401447991
1,36,429.8246787448,0.516,4.852207401447991
2,36,429.8246787448,0.522,4.852207401447991
3,36,429.8246787448,0.516,4.852207401447991
4,36,429.8246787448,0.52299999999,4.852207401447991
5,36,429.8246787448,0.522,4.852207401447991
6,36,429.8246787448,0.56200000001,4.852207401447991
7,36,429.8246787448,0.52100000001,4.852207401447991
