Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,42,571.279484747,0.90800000005,4.145384861054339
1,42,571.279484747,0.87800000003,4.145384861054339
0,42,571.279484747,0.87299999999,4.145384861054339
1,42,571.279484747,0.87,4.145384861054339
2,42,571.279484747,0.875,4.145384861054339
3,42,571.279484747,0.883,4.145384861054339
4,42,571.279484747,0.87299999999,4.145384861054339
5,42,571.279484747,0.878,4.145384861054339
6,42,571.279484747,0.87700000001,4.145384861054339
7,42,571.279484747,0.87,4.145384861054339
