Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,27,232.1878538093,0.31400000001,6.110768273211552
1,27,232.1878538093,0.35400000005,6.110768273211552
0,27,232.1878538093,0.25399999999,6.110768273211552
1,27,232.1878538093,0.25100000002,6.110768273211552
2,27,232.1878538093,0.24899999998,6.110768273211552
3,27,232.1878538093,0.24900000001,6.110768273211552
4,27,232.1878538093,0.25300000003,6.110768273211552
5,27,232.1878538093,0.25,6.110768273211552
6,27,232.1878538093,0.255,6.110768273211552
7,27,232.1878538093,0.25200000001,6.110768273211552
