Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,52,957.1177626442002,1.5120000001,3.0907340523326363
1,52,957.1177626442002,1.5229999998,3.0907340523326363
0,52,957.1177626442002,1.507,3.0907340523326363
1,52,957.1177626442002,1.512,3.0907340523326363
2,52,957.1177626442002,1.501,3.0907340523326363
3,52,957.1177626442002,1.506,3.0907340523326363
4,52,957.1177626442002,1.495,3.0907340523326363
5,52,957.1177626442002,1.507,3.0907340523326363
6,52,957.1177626442002,1.499,3.0907340523326363
7,52,957.1177626442002,1.505,3.0907340523326363
