Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,25,161.3517768895,0.23399999994,6.4425150368470225
1,25,161.3517768895,0.21300000022,6.4425150368470225
0,25,161.3517768895,0.21099999998,6.4425150368470225
1,25,161.3517768895,0.21100000001,6.4425150368470225
2,25,161.3517768895,0.209,6.4425150368470225
3,25,161.3517768895,0.20799999998,6.4425150368470225
4,25,161.3517768895,0.209,6.4425150368470225
5,25,161.3517768895,0.21100000001,6.4425150368470225
6,25,161.3517768895,0.21100000001,6.4425150368470225
7,25,161.3517768895,0.209,6.4425150368470225
