Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,50,741.9574749052,1.53,3.292977376174941
1,50,741.9574749052,1.2689999999,3.292977376174941
0,50,741.9574749052,1.159,3.292977376174941
1,50,741.9574749052,1.156,3.292977376174941
2,50,741.9574749052,1.156,3.292977376174941
3,50,741.9574749052,1.154,3.292977376174941
4,50,741.9574749052,1.154,3.292977376174941
5,50,741.9574749052,1.157,3.292977376174941
6,50,741.9574749052,1.155,3.292977376174941
7,50,741.9574749052,1.152,3.292977376174941
