Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,54,959.9617102079001,1.9129999999,2.8917507192395098
1,54,959.9617102079001,1.949,2.8917507192395098
0,54,959.9617102079001,1.796,2.8917507192395098
1,54,959.9617102079001,1.792,2.8917507192395098
2,54,959.9617102079001,1.799,2.8917507192395098
3,54,959.9617102079001,1.8,2.8917507192395098
4,54,959.9617102079001,1.808,2.8917507192395098
5,54,959.9617102079001,1.795,2.8917507192395098
6,54,959.9617102079001,1.797,2.8917507192395098
7,54,959.9617102079001,1.793,2.8917507192395098
