Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,9,22.5443816868,0.033999999985,11.18645013695885
1,9,22.5443816868,0.033999999985,11.18645013695885
0,9,22.5443816868,0.033000000025,11.18645013695885
1,9,22.5443816868,0.033000000025,11.18645013695885
2,9,22.5443816868,0.035000000003,11.18645013695885
3,9,22.5443816868,0.032999999996,11.18645013695885
4,9,22.5443816868,0.032999999996,11.18645013695885
5,9,22.5443816868,0.032999999996,11.18645013695885
6,9,22.5443816868,0.032999999996,11.18645013695885
7,9,22.5443816868,0.032999999996,11.18645013695885
