Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,30,274.4011694645,0.32299999986,5.655021367480999
1,30,274.4011694645,0.32600000012,5.655021367480999
0,30,274.4011694645,0.32199999999,5.655021367480999
1,30,274.4011694645,0.32799999998,5.655021367480999
2,30,274.4011694645,0.32399999999,5.655021367480999
3,30,274.4011694645,0.323,5.655021367480999
4,30,274.4011694645,0.33600000001,5.655021367480999
5,30,274.4011694645,0.326,5.655021367480999
6,30,274.4011694645,0.32800000001,5.655021367480999
7,30,274.4011694645,0.32199999999,5.655021367480999
