Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,59,977.4777949140001,2.2990000001,2.4059914560377935
1,59,977.4777949140001,2.4580000001,2.4059914560377935
0,59,977.4777949140001,2.25,2.4059914560377935
1,59,977.4777949140001,2.266,2.4059914560377935
2,59,977.4777949140001,2.248,2.4059914560377935
3,59,977.4777949140001,2.256,2.4059914560377935
4,59,977.4777949140001,2.257,2.4059914560377935
5,59,977.4777949140001,2.258,2.4059914560377935
6,59,977.4777949140001,2.262,2.4059914560377935
7,59,977.4777949140001,2.256,2.4059914560377935
