Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,45,795.9837426293002,1.068,3.8161848313029423
1,45,795.9837426293002,1.165,3.8161848313029423
0,45,795.9837426293002,1.026,3.8161848313029423
1,45,795.9837426293002,1.094,3.8161848313029423
2,45,795.9837426293002,1.02,3.8161848313029423
3,45,795.9837426293002,1.017,3.8161848313029423
4,45,795.9837426293002,1.024,3.8161848313029423
5,45,795.9837426293002,1.022,3.8161848313029423
6,45,795.9837426293002,1.018,3.8161848313029423
7,45,795.9837426293002,1.02,3.8161848313029423
