Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,63,1320.3643577921,2.571,2.0269101178518847
1,63,1320.3643577921,2.943,2.0269101178518847
0,63,1320.3643577921,2.537,2.0269101178518847
1,63,1320.3643577921,2.562,2.0269101178518847
2,63,1320.3643577921,2.532,2.0269101178518847
3,63,1320.3643577921,2.546,2.0269101178518847
4,63,1320.3643577921,2.53,2.0269101178518847
5,63,1320.3643577921,2.536,2.0269101178518847
6,63,1320.3643577921,2.54,2.0269101178518847
7,63,1320.3643577921,2.53,2.0269101178518847
