Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,56,1137.3240220586,2.077,2.6956152983567025
1,56,1137.3240220586,2.0600000001,2.6956152983567025
0,56,1137.3240220586,1.956,2.6956152983567025
1,56,1137.3240220586,1.966,2.6956152983567025
2,56,1137.3240220586,1.953,2.6956152983567025
3,56,1137.3240220586,1.952,2.6956152983567025
4,56,1137.3240220586,1.954,2.6956152983567025
5,56,1137.3240220586,1.956,2.6956152983567025
6,56,1137.3240220586,1.955,2.6956152983567025
7,56,1137.3240220586,1.949,2.6956152983567025
