Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,61,1274.6361127864,2.966,2.2155378962786476
1,61,1274.6361127864,2.7659999998,2.2155378962786476
0,61,1274.6361127864,2.508,2.2155378962786476
1,61,1274.6361127864,2.509,2.2155378962786476
2,61,1274.6361127864,2.536,2.2155378962786476
3,61,1274.6361127864,2.527,2.2155378962786476
4,61,1274.6361127864,2.512,2.2155378962786476
5,61,1274.6361127864,2.511,2.2155378962786476
6,61,1274.6361127864,2.518,2.2155378962786476
7,61,1274.6361127864,2.515,2.2155378962786476
