Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,57,1038.4671669026,2.165,2.5985028006855835
1,57,1038.4671669026,2.182,2.5985028006855835
0,57,1038.4671669026,2.051,2.5985028006855835
1,57,1038.4671669026,2.023,2.5985028006855835
2,57,1038.4671669026,2.038,2.5985028006855835
3,57,1038.4671669026,2.03,2.5985028006855835
4,57,1038.4671669026,2.02,2.5985028006855835
5,57,1038.4671669026,2.04,2.5985028006855835
6,57,1038.4671669026,2.022,2.5985028006855835
7,57,1038.4671669026,2.03,2.5985028006855835
