Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,47,672.1271760274001,1.395,3.603522897774478
1,47,672.1271760274001,1.5389999999,3.603522897774478
0,47,672.1271760274001,1.285,3.603522897774478
1,47,672.1271760274001,1.288,3.603522897774478
2,47,672.1271760274001,1.279,3.603522897774478
3,47,672.1271760274001,1.28,3.603522897774478
4,47,672.1271760274001,1.294,3.603522897774478
5,47,672.1271760274001,1.289,3.603522897774478
6,47,672.1271760274001,1.284,3.603522897774478
7,47,672.1271760274001,1.288,3.603522897774478
