Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,31,417.7829889434,0.40899999999,5.512336745844158
1,31,417.7829889434,0.4040000001,5.512336745844158
0,31,417.7829889434,0.40299999999,5.512336745844158
1,31,417.7829889434,0.40600000002,5.512336745844158
2,31,417.7829889434,0.402,5.512336745844158
3,31,417.7829889434,0.408,5.512336745844158
4,31,417.7829889434,0.40300000002,5.512336745844158
5,31,417.7829889434,0.39899999998,5.512336745844158
6,31,417.7829889434,0.41099999999,5.512336745844158
7,31,417.7829889434,0.40299999999,5.512336745844158
