Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,62,1263.7175947643,2.8770000001,2.121008487281875
1,62,1263.7175947643,2.54,2.121008487281875
0,62,1263.7175947643,2.473,2.121008487281875
1,62,1263.7175947643,2.465,2.121008487281875
2,62,1263.7175947643,2.487,2.121008487281875
3,62,1263.7175947643,2.47,2.121008487281875
4,62,1263.7175947643,2.469,2.121008487281875
5,62,1263.7175947643,2.478,2.121008487281875
6,62,1263.7175947643,2.467,2.121008487281875
7,62,1263.7175947643,2.466,2.121008487281875
