Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,2,1.00264116978,0.02099999995,17.990000000000002
1,2,1.00264116978,0.022000000114,17.990000000000002
0,2,1.00264116978,0.020999999979,17.990000000000002
1,2,1.00264116978,0.020999999979,17.990000000000002
2,2,1.00264116978,0.021000000008,17.990000000000002
3,2,1.00264116978,0.021999999997,17.990000000000002
4,2,1.00264116978,0.021000000008,17.990000000000002
5,2,1.00264116978,0.021000000008,17.990000000000002
6,2,1.00264116978,0.021000000008,17.990000000000002
7,2,1.00264116978,0.01999999999,17.990000000000002
