Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,41,573.2834484776,0.83100000001,4.258260963896512
1,41,573.2834484776,0.94900000002,4.258260963896512
0,41,573.2834484776,0.81899999999,4.258260963896512
1,41,573.2834484776,0.82000000001,4.258260963896512
2,41,573.2834484776,0.82199999999,4.258260963896512
3,41,573.2834484776,0.82200000001,4.258260963896512
4,41,573.2834484776,0.829,4.258260963896512
5,41,573.2834484776,0.818,4.258260963896512
6,41,573.2834484776,0.82200000001,4.258260963896512
7,41,573.2834484776,0.82399999999,4.258260963896512
