Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,5,6.418133450600001,0.02500000014,14.350003484320133
1,5,6.418133450600001,0.024999999907,14.350003484320133
0,5,6.418133450600001,0.024000000005,14.350003484320133
1,5,6.418133450600001,0.024999999994,14.350003484320133
2,5,6.418133450600001,0.025000000023,14.350003484320133
3,5,6.418133450600001,0.025999999983,14.350003484320133
4,5,6.418133450600001,0.027000000002,14.350003484320133
5,5,6.418133450600001,0.023999999976,14.350003484320133
6,5,6.418133450600001,0.024999999994,14.350003484320133
7,5,6.418133450600001,0.025000000023,14.350003484320133
