Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,8,19.79993533544,0.04299999983,11.800065677783323
1,8,19.79993533544,0.027999999933,11.800065677783323
0,8,19.79993533544,0.027000000002,11.800065677783323
1,8,19.79993533544,0.027000000002,11.800065677783323
2,8,19.79993533544,0.027000000002,11.800065677783323
3,8,19.79993533544,0.02900000001,11.800065677783323
4,8,19.79993533544,0.027999999991,11.800065677783323
5,8,19.79993533544,0.027000000002,11.800065677783323
6,8,19.79993533544,0.027000000002,11.800065677783323
7,8,19.79993533544,0.027000000002,11.800065677783323
