Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,60,1184.8453975840002,2.2780000002,2.3105230288111533
1,60,1184.8453975840002,2.6470000001,2.3105230288111533
0,60,1184.8453975840002,2.241,2.3105230288111533
1,60,1184.8453975840002,2.24,2.3105230288111533
2,60,1184.8453975840002,2.237,2.3105230288111533
3,60,1184.8453975840002,2.241,2.3105230288111533
4,60,1184.8453975840002,2.24,2.3105230288111533
5,60,1184.8453975840002,2.239,2.3105230288111533
6,60,1184.8453975840002,2.235,2.3105230288111533
7,60,1184.8453975840002,2.227,2.3105230288111533
