sep=;
"Time";"0x00";"0x01";"0x02";"0x03";"0x08";"0x1A";"0x1C";"0x1E"
"2020-01-05T20:29:23+01:00";720;0;0;0;0;0;0;0
"2020-01-05T20:29:24+01:00";558;0;0;0;0;288;0;0
"2020-01-05T20:29:25+01:00";31836;973432;0;0;0;288;0;0
"2020-01-05T20:29:26+01:00";17046;422760;0;0;0;0;0;0
"2020-01-05T20:29:27+01:00";15120;367476;0;0;0;0;0;0
"2020-01-05T20:29:28+01:00";15144;339292;0;0;0;254;0;0
"2020-01-05T20:29:29+01:00";23844;339292;0;0;0;288;0;0
"2020-01-05T20:29:30+01:00";31848;1069908;0;0;0;288;0;0
"2020-01-05T20:29:31+01:00";31050;1035220;0;0;0;576;0;0
"2020-01-05T20:29:32+01:00";33432;1116520;0;0;0;0;0;0
"2020-01-05T20:29:33+01:00";31860;1033052;0;0;0;0;0;0
"2020-01-05T20:29:34+01:00";31344;1054732;0;0;0;254;0;0
"2020-01-05T20:29:35+01:00";34764;1043892;0;0;0;254;0;0
"2020-01-05T20:29:36+01:00";32652;1074244;0;0;0;0;0;0
"2020-01-05T20:29:37+01:00";33288;1116520;0;0;0;542;0;0
"2020-01-05T20:29:38+01:00";30900;1047144;0;0;0;0;0;0
"2020-01-05T20:29:39+01:00";31152;1091588;0;0;0;288;0;0
"2020-01-05T20:29:40+01:00";30696;1078580;0;0;0;254;0;0
"2020-01-05T20:29:41+01:00";32646;1103512;0;0;0;0;0;0
"2020-01-05T20:29:42+01:00";32172;1099176;0;0;0;0;0;0
"2020-01-05T20:29:43+01:00";31056;1099176;0;0;0;288;0;0
"2020-01-05T20:29:44+01:00";31812;1084000;0;0;0;288;0;0
"2020-01-05T20:29:45+01:00";34020;1095924;491052;0;0;288;0;0
"2020-01-05T20:29:46+01:00";32130;500808;500808;0;0;0;0;0
"2020-01-05T20:29:47+01:00";32400;537664;536580;0;0;542;0;0
"2020-01-05T20:29:48+01:00";30060;530076;579940;0;0;0;0;0
"2020-01-05T20:29:49+01:00";32472;539832;493220;0;0;542;0;0
"2020-01-05T20:29:50+01:00";33048;547420;599452;0;0;0;0;0
"2020-01-05T20:29:51+01:00";32676;551756;499724;0;0;0;0;0
"2020-01-05T20:29:52+01:00";33684;548504;499724;0;0;576;0;0
"2020-01-05T20:29:53+01:00";30780;548504;530076;0;0;0;0;0
"2020-01-05T20:29:54+01:00";32730;540916;542000;0;0;508;0;0
"2020-01-05T20:29:55+01:00";31836;543084;542000;0;0;0;0;0
"2020-01-05T20:29:56+01:00";32964;563680;564764;0;0;0;0;0
"2020-01-05T20:29:57+01:00";32154;534412;534412;0;0;0;0;0
"2020-01-05T20:29:58+01:00";31152;538748;599452;0;0;0;0;0
"2020-01-05T20:29:59+01:00";34776;551756;492136;0;0;0;0;0
"2020-01-05T20:30:00+01:00";31836;551756;559344;0;0;542;0;0
"2020-01-05T20:30:01+01:00";32880;548504;559344;0;0;0;0;0
"2020-01-05T20:30:02+01:00";32928;548504;548504;0;0;127;0;0
"2020-01-05T20:30:03+01:00";30744;520320;586444;0;0;0;0;0
"2020-01-05T20:30:04+01:00";33276;562596;495388;0;0;576;0;0
"2020-01-05T20:30:05+01:00";28464;380484;381568;332788;0;576;0;0
"2020-01-05T20:30:06+01:00";29268;377232;432516;332788;0;0;0;0
"2020-01-05T20:30:07+01:00";29124;378316;432516;323032;0;0;0;0
"2020-01-05T20:30:08+01:00";29676;383736;383736;383736;0;542;0;0
"2020-01-05T20:30:09+01:00";27294;383736;356636;385904;0;0;0;0
"2020-01-05T20:30:10+01:00";29196;380484;381568;383736;0;542;0;0
"2020-01-05T20:30:11+01:00";29016;371812;370728;370728;0;0;0;0
"2020-01-05T20:30:12+01:00";28644;371812;370728;370728;0;288;0;0
"2020-01-05T20:30:13+01:00";29148;376148;370728;339292;0;288;0;0
"2020-01-05T20:30:14+01:00";29256;381568;377232;381568;0;0;0;0
"2020-01-05T20:30:15+01:00";30072;388072;386988;388072;0;0;0;0
"2020-01-05T20:30:16+01:00";29736;384820;437936;388072;0;0;0;0
"2020-01-05T20:30:17+01:00";29922;384820;336040;336040;0;0;0;0
"2020-01-05T20:30:18+01:00";27974;360972;360972;336040;0;542;0;0
"2020-01-05T20:30:19+01:00";29438;381568;381568;413004;0;542;0;0
"2020-01-05T20:30:20+01:00";28332;367476;411920;380484;0;0;0;0
"2020-01-05T20:30:21+01:00";30062;386988;343628;386988;0;0;0;0
"2020-01-05T20:30:22+01:00";29586;382652;381568;386988;0;542;0;0
"2020-01-05T20:30:23+01:00";28632;370728;381568;405416;0;0;0;0
"2020-01-05T20:30:24+01:00";28044;363140;329536;363140;0;0;0;0
"2020-01-05T20:30:25+01:00";22886;295932;295932;363140;5420;576;0;0
"2020-01-05T20:30:26+01:00";8820;114904;295932;269916;265580;0;0;0
"2020-01-05T20:30:27+01:00";7950;108400;107316;108400;131164;0;0;0
"2020-01-05T20:30:28+01:00";6612;86720;86720;86720;93224;0;0;0
"2020-01-05T20:30:29+01:00";15456;202708;203792;202708;222220;0;0;0
"2020-01-05T20:30:30+01:00";26580;346880;347964;202708;222220;254;0;0
"2020-01-05T20:30:31+01:00";22080;413004;410836;462868;413004;0;0;0
"2020-01-05T20:30:32+01:00";720;450944;452028;462868;399996;542;0;0
"2020-01-05T20:30:33+01:00";4224;390240;452028;426012;399996;542;0;0
"2020-01-05T20:30:34+01:00";22860;390240;295932;426012;424928;0;0;0
"2020-01-05T20:30:35+01:00";22452;292680;291596;294848;294848;254;0;0
"2020-01-05T20:30:36+01:00";24360;314360;314360;281840;290512;0;0;0
"2020-01-05T20:30:37+01:00";23106;301352;302436;281840;325200;576;0;0
"2020-01-05T20:30:38+01:00";21840;285092;286176;324116;259076;0;0;0
"2020-01-05T20:30:39+01:00";24504;318696;352300;313276;314360;288;0;0
"2020-01-05T20:30:40+01:00";23658;318696;271000;313276;314360;254;0;0
"2020-01-05T20:30:41+01:00";22620;291596;337124;301352;301352;0;0;0
"2020-01-05T20:30:42+01:00";22968;299184;253656;308940;310024;0;0;0
"2020-01-05T20:30:43+01:00";22560;291596;292680;293764;251488;542;0;0
"2020-01-05T20:30:44+01:00";22644;293764;292680;292680;293764;0;0;0
"2020-01-05T20:30:45+01:00";18588;242816;241732;269916;293764;288;1084;0
"2020-01-05T20:30:46+01:00";20208;256908;290512;262328;236312;0;263412;0
"2020-01-05T20:30:47+01:00";19206;252572;290512;220052;263412;0;263412;0
"2020-01-05T20:30:48+01:00";18552;243900;242816;220052;218968;508;218968;0
"2020-01-05T20:30:49+01:00";18684;242816;243900;269916;271000;254;271000;0
"2020-01-05T20:30:50+01:00";24870;324116;360972;216800;329536;254;248236;0
