Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV), QoS Constraints Removed
0,3,0.99999997002,0.22929999999,4.08248290463863,0
0,3,0.99999997002,0.2329,4.08248290463863,0
0,3,0.99999997002,0.2282,4.08248290463863,0
0,3,0.99999997002,0.22910000001,4.08248290463863,0
0,3,0.99999997002,0.039799999999,4.08248290463863,0
0,3,0.99999997002,0.040299999993,4.08248290463863,0
0,3,0.99999997002,0.039399999994,4.08248290463863,0
0,3,0.99999997002,0.039600000004,4.08248290463863,0
0,3,0.99999997002,0.039299999975,4.08248290463863,0
0,3,0.99999997002,0.039199999999,4.08248290463863,0
0,3,0.99999997002,0.039199999999,4.08248290463863,0
0,3,0.99999997002,0.039500000014,4.08248290463863,0
0,3,0.99999997002,0.039300000004,4.08248290463863,0
0,3,0.99999997002,0.038999999997,4.08248290463863,0
0,3,0.99999997002,0.039400000001,4.08248290463863,0
0,3,0.25,0.0141,0.4714045207910317,0
0,3,0.25,0.013800000001,0.4714045207910317,0
0,3,0.25,0.013699999996,0.4714045207910317,0
0,3,0.99999997001,0.041900000011,4.08248290463863,0
0,3,0.99999997001,0.041899999997,4.08248290463863,0
0,3,0.25,0.0141,0.4714045207910317,0
