Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,3,2.25,0.040600000008,16.949350036702487
1,3,2.25,0.040399999998,16.949350036702487
0,3,2.25,0.041599999997,16.949350036702487
1,3,2.25,0.040399999998,16.949350036702487
2,3,2.25,0.040800000002,16.949350036702487
3,3,2.25,0.041800000006,16.949350036702487
4,3,2.25,0.040399999998,16.949350036702487
5,3,2.25,0.040500000003,16.949350036702487
6,3,2.25,0.040500000003,16.949350036702487
7,3,2.25,0.040800000002,16.949350036702487
