Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,11,30.25,0.28590000002,10.175383924773007
1,11,30.25,0.28819999998,10.175383924773007
0,11,30.25,0.28420000001,10.175383924773007
1,11,30.25,0.28419999999,10.175383924773007
2,11,30.25,0.28320000001,10.175383924773007
3,11,30.25,0.28279999999,10.175383924773007
4,11,30.25,0.2837,10.175383924773007
5,11,30.25,0.283,10.175383924773007
6,11,30.25,0.28330000001,10.175383924773007
7,11,30.25,0.2841,10.175383924773007
